mal_id,title,title_english,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,season,year,studios,genres,themes,demographics,engagement_score,score_tier,popularity_momentum,score_z,retention_proxy,airing_era
14989,Chousoku Henkei Gyrozetter,Chousoku Henkei Gyrozetter,TV,Game,51,Finished Airing,25 min per ep,G - All Ages,6.42,2036,7724,8280,6411,15,fall,2012,A-1 Pictures,Action,"Mecha, Racing",Unknown,11.538359266227038,Average,3.1472754050073637,-0.5091959026950829,0.0023393636930754834,Digital Boom Era
15045,Litchi DE Hikari Club,Lychee Light Club,TV,Manga,8,Finished Airing,3 min per ep,PG-13 - Teens 13 or older,5.18,5871,13256,6090,13632,26,fall,2012,Kachidoki Studio,"Drama, Horror, Romance",Psychological,Unknown,12.816012115073427,Below Average,2.321525885558583,-1.9213584190636994,0.0019071370938164747,Digital Boom Era
39622,Bakugan: Battle Planet,Bakugan: Battle Planet,TV,Original,50,Finished Airing,24 min per ep,PG - Children,5.52,3759,12326,7311,8726,23,spring,2019,TMS Entertainment,"Action, Fantasy",Strategy Game,Unknown,12.2521161840315,Below Average,2.320744680851064,-1.534152567801337,0.0026354990260112295,Global Expansion Era
47806,Pipilu Anquan Tegong Dui,Pipilu Rangers,TV,Novel,13,Finished Airing,10 min per ep,PG - Children,0.0,0,21455,25640,101,0,winter,2019,Studio Gale,Unknown,None,Kids,4.61512051684126,Unscored,0.0,null,0.0,Global Expansion Era
15225,Hentai Ouji to Warawanai Neko.,"The ""Hentai"" Prince and the Stony Cat.",TV,Light novel,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,7.13,242599,3856,531,464686,1757,spring,2013,J.C.Staff,"Comedy, Romance, Supernatural","Harem, School",Unknown,20.521049265900732,Good,1.9154410552349546,0.29938102199985056,0.0037810397106008992,Streaming Revolution
27833,Durarara!!x2 Ketsu,Durarara!! x2 Ketsu,TV,Light novel,12,Finished Airing,24 min per ep,R - 17+ (violence & profanity),8.05,193478,625,653,395143,1083,winter,2016,Shuka,"Action, Mystery, Supernatural",None,Unknown,19.875416185683953,Excellent,2.0423043327699646,1.3471145018862443,0.0027407729840260766,Streaming Revolution
33835,PJ Berri no Mogumogu Munyamunya,PJ Berri no Mogumogu Munyamunya,TV,Game,20,Finished Airing,1 min per ep,G - All Ages,0.0,0,21467,16312,642,0,summer,2016,Doga Kobo,Comedy,None,Unknown,6.464588303689961,Unscored,0.0,null,0.0,Streaming Revolution
33836,Seiren,Seiren,TV,Original,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.28,93131,8555,1053,251984,480,winter,2017,"Studio Gokumi, AXsiZ",Romance,"Harem, School",Unknown,18.612988142520123,Average,2.705665077524374,-0.6686336061560553,0.0019048752901958449,Global Expansion Era
44417,Shaonian Shiye: Xinyi Xiao Xiake,Shaonian Shiye: Xinyi Xiao Xiake,TV,Original,26,Finished Airing,13 min per ep,PG - Children,0.0,0,14474,23676,140,0,spring,2013,Unknown,Unknown,Historical,Kids,4.941642422609304,Unscored,0.0,null,0.0,Streaming Revolution
15731,Tamayura: More Aggressive,Tamayura: More Aggressive,TV,Original,12,Finished Airing,24 min per ep,G - All Ages,7.57,8409,1715,5021,22423,73,summer,2013,TYO Animations,Slice of Life,"CGDCT, Iyashikei",Unknown,14.321907589977702,Good,2.666230677764566,0.8004709471629083,0.003255440599357831,Streaming Revolution
